user_id,alert_rule_name,operational_risk_level,flagged_amount,alert_time,alert_status
USR_1109,Rapid Movement of Funds,HIGH,100.35,2026-01-18 20:00:00,New
USR_1166,Rapid Movement of Funds,HIGH,223.5,2026-01-24 21:00:00,New
USR_1179,Rapid Movement of Funds,HIGH,230.33,2026-02-23 04:00:00,New
USR_1126,Rapid Movement of Funds,HIGH,173.61,2026-02-27 12:00:00,New
USR_1028,Rapid Movement of Funds,HIGH,188.29,2026-02-21 08:00:00,New
USR_1028,Rapid Movement of Funds,HIGH,76.36,2026-02-22 07:00:00,New
USR_1068,Rapid Movement of Funds,HIGH,170.91,2026-02-12 18:00:00,New
USR_1002,Rapid Movement of Funds,HIGH,11.73,2026-01-08 15:00:00,New
USR_1033,Rapid Movement of Funds,HIGH,53.56,2026-02-03 18:00:00,New
USR_1001,Rapid Movement of Funds,HIGH,105.76,2026-01-14 20:00:00,New
USR_1001,Rapid Movement of Funds,HIGH,175.57,2026-01-15 23:00:00,New
USR_1043,Rapid Movement of Funds,HIGH,162.79,2026-02-03 15:00:00,New
USR_1087,Rapid Movement of Funds,HIGH,109.98,2026-01-17 13:00:00,New
USR_1157,Rapid Movement of Funds,HIGH,208.33,2026-02-08 20:00:00,New
USR_1162,Rapid Movement of Funds,HIGH,205.91,2026-03-06 11:00:00,New
USR_1151,Rapid Movement of Funds,HIGH,142.69,2026-01-13 03:00:00,New
USR_1014,Rapid Movement of Funds,HIGH,102.45,2026-01-11 08:00:00,New
USR_1081,Rapid Movement of Funds,HIGH,193.14,2026-02-17 05:00:00,New
USR_1019,Rapid Movement of Funds,HIGH,157.04,2026-01-17 05:00:00,New
USR_1005,Rapid Movement of Funds,HIGH,149.0,2026-01-19 04:00:00,New
USR_1005,Rapid Movement of Funds,HIGH,150.2,2026-01-19 04:00:00,New
USR_1005,Rapid Movement of Funds,HIGH,7500.0,2026-02-10 14:06:00,New
USR_1149,Rapid Movement of Funds,HIGH,84.23,2026-02-18 04:00:00,New
USR_1123,Rapid Movement of Funds,HIGH,197.0,2026-01-28 01:00:00,New
USR_1146,Rapid Movement of Funds,HIGH,129.9,2026-01-31 16:00:00,New
USR_1168,Rapid Movement of Funds,HIGH,208.91,2026-02-06 07:00:00,New
USR_1012,Structuring / Smurf Pattern,HIGH,1140.0,2026-02-15 09:44:00,New
USR_1040,Unverified High-Value Deposit,CRITICAL,12500.0,2026-02-18 11:00:00,Under Review
