user_id,signup_date,kyc_status,risk_score
USR_1000,2026-02-10,Verified,Low
USR_1001,2026-01-08,Pending,Low
USR_1002,2026-01-02,Verified,Low
USR_1003,2026-02-17,Verified,Medium
USR_1004,2026-01-18,Verified,Low
USR_1005,2026-01-16,Verified,Low
USR_1006,2026-01-15,Verified,Low
USR_1007,2026-01-09,Pending,Low
USR_1008,2026-02-17,Verified,Low
USR_1009,2026-01-07,Verified,Low
USR_1010,2026-02-13,Verified,Low
USR_1011,2026-02-17,Pending,Low
USR_1012,2026-02-27,Verified,Low
USR_1013,2026-02-04,Verified,Low
USR_1014,2026-01-06,Verified,Low
USR_1015,2026-02-07,Verified,Low
USR_1016,2026-01-28,Verified,Low
USR_1017,2026-01-03,Verified,Low
USR_1018,2026-01-02,Verified,Low
USR_1019,2026-01-06,Verified,Medium
USR_1020,2026-01-14,Verified,Low
USR_1021,2026-01-15,Verified,Low
USR_1022,2026-02-02,Verified,Low
USR_1023,2026-02-08,Verified,Low
USR_1024,2026-01-02,Verified,Low
USR_1025,2026-02-05,Verified,Low
USR_1026,2026-01-13,Verified,High
USR_1027,2026-02-15,Verified,Low
USR_1028,2026-02-11,Verified,Medium
USR_1029,2026-02-14,Verified,Low
USR_1030,2026-02-04,Verified,Medium
USR_1031,2026-01-27,Verified,Low
USR_1032,2026-01-15,Verified,Low
USR_1033,2026-01-29,Pending,Low
USR_1034,2026-02-07,Pending,Low
USR_1035,2026-01-18,Verified,Low
USR_1036,2026-02-21,Verified,Low
USR_1037,2026-02-25,Verified,Low
USR_1038,2026-01-01,Verified,Low
USR_1039,2026-02-18,Verified,Low
USR_1040,2026-02-21,Pending,Medium
USR_1041,2026-01-11,Verified,High
USR_1042,2026-02-14,Verified,Medium
USR_1043,2026-01-28,Pending,Low
USR_1044,2026-01-22,Verified,Low
USR_1045,2026-01-18,Verified,Medium
USR_1046,2026-01-10,Verified,Low
USR_1047,2026-01-14,Verified,High
USR_1048,2026-02-18,Verified,High
USR_1049,2026-01-22,Verified,Medium
USR_1050,2026-01-07,Pending,Low
USR_1051,2026-01-06,Verified,Low
USR_1052,2026-01-25,Pending,Medium
USR_1053,2026-01-07,Pending,Low
USR_1054,2026-01-23,Verified,Low
USR_1055,2026-02-24,Pending,Low
USR_1056,2026-01-23,Verified,Medium
USR_1057,2026-02-08,Verified,Low
USR_1058,2026-01-17,Verified,Low
USR_1059,2026-02-21,Verified,Low
USR_1060,2026-01-03,Verified,Low
USR_1061,2026-02-16,Verified,High
USR_1062,2026-01-30,Verified,Low
USR_1063,2026-02-04,Verified,Low
